item_id,order_id,product_name,category,quantity,unit_price
1,1,Hair Oil,Beauty,3,1435.35
2,1,Sticky Notes,Office,4,578.93
3,1,Almonds,Food,4,857.28
4,2,Phone Case,Electronics,2,1340.94
5,2,Jeans,Clothing,2,824.24
6,3,Jacket,Clothing,1,101.41
7,4,Multivitamin,Health,1,561.78
8,4,Coffee Mug,Home & Kitchen,4,653.27
9,4,Stats Book,Books,3,914.16
10,4,Knife Set,Home & Kitchen,2,105.71
11,5,Perfume,Beauty,4,1951.21
12,5,Whey Protein,Health,4,313.47
13,5,Omega-3,Health,4,1280.54
14,6,Stuffed Animal,Toys,3,1822.4
15,6,Honey,Food,2,1619.18
16,6,Almonds,Food,3,853.8
17,6,Towel Set,Home & Kitchen,1,50.18
18,6,Towel Set,Home & Kitchen,3,964.94
19,7,Oats,Food,3,67.81
20,8,Dumbbells,Sports,2,1603.7
21,8,Whey Protein,Health,2,852.88
22,8,Bandages,Health,4,537.3
23,8,LEGO Set,Toys,2,562.81
24,9,AI Primer,Books,3,605.12
25,9,Whey Protein,Health,4,416.6
26,9,Jeans,Clothing,2,614.71
27,9,Honey,Food,4,580.66
28,10,Green Tea,Food,3,87.82
29,10,Smart Watch,Electronics,1,412.58
30,10,Sneakers,Clothing,3,293.83
31,10,Dark Chocolate,Food,1,503.98
32,10,Coffee Mug,Home & Kitchen,4,473.52
33,11,Jump Rope,Sports,3,954.18
34,11,USB Cable,Electronics,1,1694.92
35,11,Coffee Mug,Home & Kitchen,3,1562.52
36,11,Scarf,Clothing,4,404.13
37,12,Puzzle,Toys,1,1950.47
38,12,SQL Mastery,Books,4,531.97
39,12,Phone Case,Electronics,4,1483.88
40,13,Sanitizer,Health,2,972.01
41,14,Shampoo,Beauty,1,1502.21
42,14,Thermometer,Health,1,543.96
43,14,Water Bottle,Sports,3,1780.66
44,15,Jeans,Clothing,4,682.8
45,15,Towel Set,Home & Kitchen,1,821.83
46,16,Wireless Earbuds,Electronics,4,1392.39
47,16,Towel Set,Home & Kitchen,1,535.01
48,17,Socks,Clothing,3,1865.16
49,17,Wireless Earbuds,Electronics,3,1306.92
50,17,Multivitamin,Health,2,1001.29
51,17,Sunscreen,Beauty,3,1620.77
52,18,Python Handbook,Books,4,748.43
53,18,Towel Set,Home & Kitchen,1,996.34
54,18,Honey,Food,3,1108.33
55,18,Green Tea,Food,2,1110.06
56,19,Almonds,Food,2,184.31
57,19,Blender,Home & Kitchen,3,1647.87
58,19,Whey Protein,Health,4,51.4
59,20,RC Car,Toys,2,1771.72
60,20,Desk Lamp,Office,2,675.35
61,20,Socks,Clothing,4,420.25
62,20,Honey,Food,2,1245.43
63,20,Perfume,Beauty,3,265.41
64,21,T-Shirt,Clothing,2,398.35
65,21,Phone Case,Electronics,1,996.47
66,21,T-Shirt,Clothing,4,1332.95
67,21,Thermometer,Health,3,145.72
68,21,AI Primer,Books,1,75.52
69,22,Protein Bar,Food,4,1611.99
70,22,USB Cable,Electronics,4,1652.95
71,23,Desk Lamp,Office,1,1481.89
72,24,Jeans,Clothing,1,247.39
73,24,AI Primer,Books,4,419.45
74,24,Sanitizer,Health,2,1161.55
75,25,Sanitizer,Health,4,1504.91
76,25,Desk Lamp,Office,4,1419.97
77,26,Jeans,Clothing,2,1122.43
78,26,Whey Protein,Health,2,1091.11
79,26,Mouse Pad,Office,3,1809.85
80,26,Whey Protein,Health,3,854.07
81,27,Sunscreen,Beauty,2,1148.13
82,27,SQL Mastery,Books,3,752.02
83,27,Oats,Food,4,50.38
84,27,USB Cable,Electronics,1,1059.34
85,28,USB Cable,Electronics,2,468.9
86,28,Face Cream,Beauty,3,1842.27
87,28,Thermometer,Health,2,233.86
88,29,Shampoo,Beauty,2,566.73
89,29,Pen Set,Office,2,549.68
90,29,Yoga Mat,Sports,4,1159.68
91,29,Stats Book,Books,1,1460.98
92,30,Blender,Home & Kitchen,1,1210.7
